Index,Incoming Calls,Incoming New Calls,Incoming Handoff Calls,Answered Calls,Answered New Calls,Answered Handoff Calls,Call Answering Rate,Blocked Calls,Blocking Probability,Dropping Probability,Response Time
387,64,44,20,60,41,19,0.95,4,0.0625,0.05,00:00:11
388,244,170,74,224,156,68,0.92,20,0.081967,0.081081,00:00:20
389,119,83,36,109,76,33,0.92,10,0.084034,0.083333,00:00:18
390,293,205,88,266,186,80,0.91,27,0.09215,0.090909,00:00:11
391,122,85,37,112,78,34,0.92,10,0.081967,0.081081,00:00:21
392,119,83,36,113,78,34,0.95,6,0.05042,0.055556,00:00:04
393,144,100,44,136,95,41,0.95,8,0.055556,0.068182,00:00:18
394,134,93,41,120,83,36,0.9,14,0.104478,0.121951,00:00:01
395,225,157,68,220,153,66,0.98,5,0.022222,0.029412,00:00:07
396,143,100,43,132,93,39,0.93,11,0.076923,0.093023,00:00:06
397,104,72,32,102,71,31,0.99,2,0.019231,0.03125,00:00:15
398,246,172,74,246,172,74,1.0,0,0.0,0.0,00:00:18
399,278,194,84,255,178,77,0.92,23,0.082734,0.083333,00:00:24
400,193,135,58,183,128,55,0.95,10,0.051813,0.051724,00:00:11
401,221,154,67,198,138,60,0.9,23,0.104072,0.104478,00:00:20
402,256,179,77,245,171,73,0.96,11,0.042969,0.051948,00:00:24
403,206,144,62,197,138,59,0.96,9,0.043689,0.048387,00:00:15
404,128,89,39,117,81,35,0.92,11,0.085938,0.102564,00:00:16
405,65,45,20,62,43,19,0.96,3,0.046154,0.05,00:00:07
406,125,87,38,115,80,34,0.92,10,0.08,0.105263,00:00:21
407,181,126,55,166,115,50,0.92,15,0.082873,0.090909,00:00:10
408,180,125,55,174,121,53,0.97,6,0.033333,0.036364,00:00:12
409,219,153,66,203,142,61,0.93,16,0.073059,0.075758,00:00:24
410,253,177,76,242,169,72,0.96,11,0.043478,0.052632,00:00:14
411,66,46,20,62,43,18,0.94,4,0.060606,0.1,00:00:05
412,297,207,90,297,207,90,1.0,0,0.0,0.0,00:00:21
413,212,148,64,192,134,58,0.91,20,0.09434,0.09375,00:00:18
414,42,29,13,39,27,12,0.95,3,0.071429,0.076923,00:00:05
415,246,172,74,238,166,71,0.97,8,0.03252,0.040541,00:00:03
416,91,63,28,85,59,26,0.94,6,0.065934,0.071429,00:00:23
417,113,79,34,113,79,34,1.0,0,0.0,0.0,00:00:05
418,246,172,74,238,166,71,0.97,8,0.03252,0.040541,00:00:24
419,216,151,65,209,146,63,0.97,7,0.032407,0.030769,00:00:17
420,48,33,15,47,32,14,0.98,1,0.020833,0.066667,00:00:19
421,206,144,62,206,144,62,1.0,0,0.0,0.0,00:00:19
422,129,90,39,127,89,38,0.99,2,0.015504,0.025641,00:00:21
423,262,183,79,254,177,76,0.97,8,0.030534,0.037975,00:00:12
424,105,73,32,101,70,31,0.97,4,0.038095,0.03125,00:00:09
425,294,205,89,267,186,80,0.91,27,0.091837,0.101124,00:00:01
426,235,164,71,213,149,64,0.91,22,0.093617,0.098592,00:00:18
427,252,176,76,241,168,72,0.96,11,0.043651,0.052632,00:00:21
428,81,56,25,72,50,22,0.9,9,0.111111,0.12,00:00:04
429,173,121,52,164,114,49,0.95,9,0.052023,0.057692,00:00:10
430,98,68,30,90,62,27,0.92,8,0.081633,0.1,00:00:07
431,128,89,39,119,82,36,0.93,9,0.070312,0.076923,00:00:22
432,54,37,17,52,36,16,0.98,2,0.037037,0.058824,00:00:23
433,82,57,25,81,56,24,0.99,1,0.012195,0.04,00:00:01
434,180,125,55,163,113,50,0.91,17,0.094444,0.090909,00:00:17
435,173,121,52,164,114,49,0.95,9,0.052023,0.057692,00:00:24
436,86,60,26,85,59,25,0.99,1,0.011628,0.038462,00:00:02
437,68,47,21,61,42,19,0.91,7,0.102941,0.095238,00:00:11
438,138,96,42,135,94,41,0.98,3,0.021739,0.02381,00:00:09
439,210,147,63,197,138,59,0.94,13,0.061905,0.063492,00:00:07
440,71,49,22,66,45,20,0.93,5,0.070423,0.090909,00:00:22
441,215,150,65,215,150,65,1.0,0,0.0,0.0,00:00:17
442,252,176,76,231,161,69,0.92,21,0.083333,0.092105,00:00:17
443,151,105,46,146,101,44,0.97,5,0.033113,0.043478,00:00:02
444,162,113,49,158,110,48,0.98,4,0.024691,0.020408,00:00:06
445,192,134,58,172,120,52,0.9,20,0.104167,0.103448,00:00:14
446,244,170,74,236,164,71,0.97,8,0.032787,0.040541,00:00:06
447,250,175,75,250,175,75,1.0,0,0.0,0.0,00:00:02
448,264,184,80,240,167,72,0.91,24,0.090909,0.1,00:00:01
449,175,122,53,173,120,52,0.99,2,0.011429,0.018868,00:00:10
450,268,187,81,257,179,77,0.96,11,0.041045,0.049383,00:00:21
451,105,73,32,100,70,30,0.96,5,0.047619,0.0625,00:00:05
452,38,26,12,36,24,11,0.96,2,0.052632,0.083333,00:00:02
453,103,72,31,95,66,28,0.93,8,0.07767,0.096774,00:00:22
454,282,197,85,279,195,84,0.99,3,0.010638,0.011765,00:00:16
455,259,181,78,256,179,77,0.99,3,0.011583,0.012821,00:00:02
456,36,25,11,34,24,10,0.96,2,0.055556,0.090909,00:00:10
457,203,142,61,198,139,59,0.98,5,0.024631,0.032787,00:00:02
458,170,118,52,163,113,49,0.96,7,0.041176,0.057692,00:00:16
459,197,137,60,187,130,57,0.95,10,0.050761,0.05,00:00:16
460,199,139,60,193,134,58,0.97,6,0.030151,0.033333,00:00:19
461,151,105,46,144,100,44,0.96,7,0.046358,0.043478,00:00:07
462,223,156,67,214,149,64,0.96,9,0.040359,0.044776,00:00:22
463,34,23,11,33,22,10,0.98,1,0.029412,0.090909,00:00:12
464,58,40,18,55,38,17,0.95,3,0.051724,0.055556,00:00:24
465,194,135,59,174,121,53,0.9,20,0.103093,0.101695,00:00:15
466,165,115,50,151,105,46,0.92,14,0.084848,0.08,00:00:08
467,174,121,53,163,113,49,0.94,11,0.063218,0.075472,00:00:06
468,246,172,74,238,166,71,0.97,8,0.03252,0.040541,00:00:10
469,161,112,49,154,107,47,0.96,7,0.043478,0.040816,00:00:03
470,99,69,30,96,66,29,0.97,3,0.030303,0.033333,00:00:19
471,281,196,85,266,186,80,0.95,15,0.053381,0.058824,00:00:17
472,211,147,64,202,141,61,0.96,9,0.042654,0.046875,00:00:07
473,196,137,59,182,127,54,0.93,14,0.071429,0.084746,00:00:21
474,120,84,36,114,79,34,0.95,6,0.05,0.055556,00:00:20
475,231,161,70,224,156,67,0.97,7,0.030303,0.042857,00:00:04
476,48,33,15,47,32,14,0.99,1,0.020833,0.066667,00:00:14
477,68,47,21,63,44,19,0.94,5,0.073529,0.095238,00:00:20
478,155,108,47,139,97,42,0.9,16,0.103226,0.106383,00:00:22
479,202,141,61,185,129,56,0.92,17,0.084158,0.081967,00:00:15
480,170,118,52,153,106,46,0.9,17,0.1,0.115385,00:00:24
481,271,189,82,262,183,79,0.97,9,0.03321,0.036585,00:00:08
482,249,174,75,231,161,69,0.93,18,0.072289,0.08,00:00:21
483,155,108,47,147,102,44,0.95,8,0.051613,0.06383,00:00:15
484,87,60,27,82,57,25,0.95,5,0.057471,0.074074,00:00:22
485,177,123,54,161,111,49,0.91,16,0.090395,0.092593,00:00:20
486,30,21,9,28,19,8,0.94,2,0.066667,0.111111,00:00:14
487,219,153,66,201,140,60,0.92,18,0.082192,0.090909,00:00:09
488,220,154,66,206,144,62,0.94,14,0.063636,0.060606,00:00:08
489,146,102,44,134,93,40,0.92,12,0.082192,0.090909,00:00:17
490,163,114,49,159,111,48,0.98,4,0.02454,0.020408,00:00:02
491,87,60,27,80,55,24,0.92,7,0.08046,0.111111,00:00:24
492,73,51,22,73,51,22,1.0,0,0.0,0.0,00:00:03
493,202,141,61,189,132,57,0.94,13,0.064356,0.065574,00:00:08
494,189,132,57,185,129,55,0.98,4,0.021164,0.035088,00:00:12
495,202,141,61,193,135,58,0.96,9,0.044554,0.04918,00:00:01
496,178,124,54,172,120,52,0.97,6,0.033708,0.037037,00:00:10
497,109,76,33,106,74,32,0.98,3,0.027523,0.030303,00:00:20
498,242,169,73,229,160,69,0.95,13,0.053719,0.054795,00:00:03
499,232,162,70,220,153,66,0.95,12,0.051724,0.057143,00:00:06
500,281,196,85,266,186,80,0.95,15,0.053381,0.058824,00:00:07
501,258,180,78,247,172,74,0.96,11,0.042636,0.051282,00:00:20
502,193,135,58,173,121,52,0.9,20,0.103627,0.103448,00:00:23
503,256,179,77,240,168,72,0.94,16,0.0625,0.064935,00:00:18
504,176,123,53,168,118,50,0.96,8,0.045455,0.056604,00:00:11
505,49,34,15,47,32,14,0.96,2,0.040816,0.066667,00:00:19
506,76,53,23,74,51,22,0.98,2,0.026316,0.043478,00:00:05
507,262,183,79,254,177,76,0.97,8,0.030534,0.037975,00:00:19
508,43,30,13,43,30,13,1.0,0,0.0,0.0,00:00:11
509,172,120,52,159,111,48,0.93,13,0.075581,0.076923,00:00:24
510,30,21,9,28,19,8,0.94,2,0.066667,0.111111,00:00:12
511,83,58,25,78,54,23,0.94,5,0.060241,0.08,00:00:10
512,288,201,87,273,190,82,0.95,15,0.052083,0.057471,00:00:08
513,173,121,52,169,118,50,0.98,4,0.023121,0.038462,00:00:24
514,41,28,13,37,25,11,0.92,4,0.097561,0.153846,00:00:09
515,253,177,76,247,173,74,0.98,6,0.023715,0.026316,00:00:04
516,185,129,56,173,121,52,0.94,12,0.064865,0.071429,00:00:05
517,37,25,12,35,24,11,0.96,2,0.054054,0.083333,00:00:21
518,151,105,46,144,100,44,0.96,7,0.046358,0.043478,00:00:08
519,193,135,58,181,126,54,0.94,12,0.062176,0.068966,00:00:23
520,119,83,36,113,78,34,0.95,6,0.05042,0.055556,00:00:09
521,165,115,50,155,108,47,0.94,10,0.060606,0.06,00:00:15
522,215,150,65,195,136,59,0.91,20,0.093023,0.092308,00:00:15
523,207,144,63,194,135,59,0.94,13,0.062802,0.063492,00:00:16
524,57,39,18,51,35,16,0.91,6,0.105263,0.111111,00:00:14
525,249,174,75,234,163,70,0.94,15,0.060241,0.066667,00:00:08
526,70,49,21,67,47,20,0.96,3,0.042857,0.047619,00:00:18
527,257,179,78,246,171,74,0.96,11,0.042802,0.051282,00:00:10
528,221,154,67,214,149,64,0.97,7,0.031674,0.044776,00:00:20
529,174,121,53,158,110,48,0.91,16,0.091954,0.09434,00:00:06
530,230,161,69,223,156,66,0.97,7,0.030435,0.043478,00:00:12
531,241,168,73,224,156,67,0.93,17,0.070539,0.082192,00:00:02
532,249,174,75,234,163,70,0.94,15,0.060241,0.066667,00:00:07
533,269,188,81,266,186,80,0.99,3,0.011152,0.012346,00:00:16
534,75,52,23,67,46,20,0.9,8,0.106667,0.130435,00:00:03
535,64,44,20,61,42,19,0.96,3,0.046875,0.05,00:00:13
536,282,197,85,270,189,81,0.96,12,0.042553,0.047059,00:00:03
537,111,77,34,104,72,31,0.94,7,0.063063,0.088235,00:00:18
538,285,199,86,262,183,79,0.92,23,0.080702,0.081395,00:00:11
539,226,158,68,207,145,62,0.92,19,0.084071,0.088235,00:00:08
540,39,27,12,38,26,11,0.99,1,0.025641,0.083333,00:00:06
541,271,189,82,254,177,77,0.94,17,0.062731,0.060976,00:00:01
542,280,196,84,260,182,78,0.93,20,0.071429,0.071429,00:00:01
543,34,23,11,31,21,10,0.94,3,0.088235,0.090909,00:00:23
544,148,103,45,143,99,43,0.97,5,0.033784,0.044444,00:00:08
545,94,65,29,85,59,26,0.91,9,0.095745,0.103448,00:00:05
546,175,122,53,164,114,49,0.94,11,0.062857,0.075472,00:00:16
547,253,177,76,242,169,72,0.96,11,0.043478,0.052632,00:00:11
548,268,187,81,265,185,80,0.99,3,0.011194,0.012346,00:00:05
549,206,144,62,191,133,57,0.93,15,0.072816,0.080645,00:00:04
550,296,207,89,278,194,83,0.94,18,0.060811,0.067416,00:00:06
551,92,64,28,86,60,26,0.94,6,0.065217,0.071429,00:00:14
552,246,172,74,236,165,71,0.96,10,0.04065,0.040541,00:00:22
553,206,144,62,193,135,58,0.94,13,0.063107,0.064516,00:00:19
554,127,88,39,120,83,37,0.95,7,0.055118,0.051282,00:00:09
555,134,93,41,131,91,40,0.98,3,0.022388,0.02439,00:00:12
556,128,89,39,124,86,37,0.97,4,0.03125,0.051282,00:00:11
557,35,24,11,32,22,10,0.94,3,0.085714,0.090909,00:00:14
558,226,158,68,223,156,67,0.99,3,0.013274,0.014706,00:00:23
559,162,113,49,155,108,47,0.96,7,0.04321,0.040816,00:00:16
560,288,201,87,273,190,82,0.95,15,0.052083,0.057471,00:00:01
561,52,36,16,46,32,14,0.9,6,0.115385,0.125,00:00:13
562,82,57,25,82,57,25,1.0,0,0.0,0.0,00:00:23
563,194,135,59,176,122,53,0.91,18,0.092784,0.101695,00:00:21
564,231,161,70,212,148,64,0.92,19,0.082251,0.085714,00:00:21
565,112,78,34,101,70,30,0.91,11,0.098214,0.117647,00:00:13
566,174,121,53,167,116,50,0.96,7,0.04023,0.056604,00:00:02
567,114,79,35,104,72,32,0.92,10,0.087719,0.085714,00:00:04
568,107,74,33,98,68,30,0.92,9,0.084112,0.090909,00:00:06
569,30,21,9,27,19,8,0.91,3,0.1,0.111111,00:00:23
570,80,56,24,72,50,21,0.91,8,0.1,0.125,00:00:05
571,202,141,61,193,135,58,0.96,9,0.044554,0.04918,00:00:03
572,234,163,71,226,158,68,0.97,8,0.034188,0.042254,00:00:01
573,289,202,87,271,189,81,0.94,18,0.062284,0.068966,00:00:04
574,63,44,19,59,41,18,0.95,4,0.063492,0.052632,00:00:20
575,124,86,38,120,83,36,0.97,4,0.032258,0.052632,00:00:02
576,101,70,31,90,63,27,0.9,11,0.108911,0.129032,00:00:05
577,68,47,21,63,43,19,0.93,5,0.073529,0.095238,00:00:03
578,183,128,55,183,128,55,1.0,0,0.0,0.0,00:00:09
579,279,195,84,267,187,80,0.96,12,0.043011,0.047619,00:00:20
580,191,133,58,177,123,53,0.93,14,0.073298,0.086207,00:00:06
581,147,102,45,139,96,42,0.95,8,0.054422,0.066667,00:00:18
582,288,201,87,267,186,80,0.93,21,0.072917,0.08046,00:00:06
583,297,207,90,282,196,85,0.95,15,0.050505,0.055556,00:00:19
584,83,58,25,75,52,22,0.91,8,0.096386,0.12,00:00:12
585,265,185,80,241,168,72,0.91,24,0.090566,0.1,00:00:11
586,251,175,76,228,159,69,0.91,23,0.091633,0.092105,00:00:02
587,280,196,84,277,194,83,0.99,3,0.010714,0.011905,00:00:15
588,141,98,43,136,95,41,0.97,5,0.035461,0.046512,00:00:12
589,284,198,86,261,182,79,0.92,23,0.080986,0.081395,00:00:12
590,236,165,71,217,151,65,0.92,19,0.080508,0.084507,00:00:09
591,258,180,78,250,174,75,0.97,8,0.031008,0.038462,00:00:21
592,95,66,29,87,60,26,0.92,8,0.084211,0.103448,00:00:24
593,104,72,32,95,66,29,0.92,9,0.086538,0.09375,00:00:02
594,132,92,40,132,92,40,1.0,0,0.0,0.0,00:00:22
595,221,154,67,205,143,62,0.93,16,0.072398,0.074627,00:00:03
596,281,196,85,272,190,82,0.97,9,0.032028,0.035294,00:00:12
597,255,178,77,255,178,77,1.0,0,0.0,0.0,00:00:16
598,127,88,39,119,82,36,0.94,8,0.062992,0.076923,00:00:21
599,278,194,84,250,174,75,0.9,28,0.100719,0.107143,00:00:24
600,195,136,59,179,125,54,0.92,16,0.082051,0.084746,00:00:01
601,59,41,18,57,40,17,0.98,2,0.033898,0.055556,00:00:21
602,276,193,83,273,191,82,0.99,3,0.01087,0.012048,00:00:03
603,135,94,41,132,92,40,0.98,3,0.022222,0.02439,00:00:20
604,80,56,24,72,50,21,0.91,8,0.1,0.125,00:00:02
605,110,77,33,107,75,32,0.98,3,0.027273,0.030303,00:00:09
606,162,113,49,160,111,48,0.99,2,0.012346,0.020408,00:00:19
607,167,116,51,160,111,48,0.96,7,0.041916,0.058824,00:00:15
608,213,149,64,210,147,63,0.99,3,0.014085,0.015625,00:00:18
609,98,68,30,96,66,29,0.98,2,0.020408,0.033333,00:00:11
610,63,44,19,61,42,18,0.97,2,0.031746,0.052632,00:00:23
611,291,203,88,279,194,84,0.96,12,0.041237,0.045455,00:00:16
612,82,57,25,76,53,23,0.93,6,0.073171,0.08,00:00:22
613,234,163,71,215,149,65,0.92,19,0.081197,0.084507,00:00:17
614,155,108,47,148,103,45,0.96,7,0.045161,0.042553,00:00:05
615,264,184,80,245,171,74,0.93,19,0.07197,0.075,00:00:12
616,72,50,22,71,49,21,0.99,1,0.013889,0.045455,00:00:11
617,269,188,81,269,188,81,1.0,0,0.0,0.0,00:00:15
618,140,98,42,137,96,41,0.98,3,0.021429,0.02381,00:00:03
619,278,194,84,252,176,76,0.91,26,0.093525,0.095238,00:00:01
620,180,125,55,167,116,51,0.93,13,0.072222,0.072727,00:00:20
621,212,148,64,192,134,58,0.91,20,0.09434,0.09375,00:00:16
622,124,86,38,120,83,36,0.97,4,0.032258,0.052632,00:00:02
623,37,25,12,36,24,11,0.98,1,0.027027,0.083333,00:00:02
624,213,149,64,210,147,63,0.99,3,0.014085,0.015625,00:00:03
625,224,156,68,210,146,63,0.94,14,0.0625,0.073529,00:00:08
626,224,156,68,221,154,67,0.99,3,0.013393,0.014706,00:00:24
627,184,128,56,182,126,55,0.99,2,0.01087,0.017857,00:00:15
628,122,85,37,113,79,34,0.93,9,0.07377,0.081081,00:00:07
629,189,132,57,187,130,56,0.99,2,0.010582,0.017544,00:00:06
630,90,62,28,84,58,26,0.94,6,0.066667,0.071429,00:00:09
631,151,105,46,140,97,42,0.93,11,0.072848,0.086957,00:00:20
632,80,56,24,76,53,23,0.96,4,0.05,0.041667,00:00:01
633,34,23,11,31,21,10,0.93,3,0.088235,0.090909,00:00:08
634,121,84,37,116,80,35,0.96,5,0.041322,0.054054,00:00:23
635,199,139,60,191,133,57,0.96,8,0.040201,0.05,00:00:23
636,51,35,16,48,33,15,0.96,3,0.058824,0.0625,00:00:03
637,30,21,9,28,19,8,0.94,2,0.066667,0.111111,00:00:04
638,162,113,49,153,107,46,0.95,9,0.055556,0.061224,00:00:15
639,262,183,79,251,175,75,0.96,11,0.041985,0.050633,00:00:06
640,41,28,13,38,26,12,0.95,3,0.073171,0.076923,00:00:15
641,75,52,23,70,48,21,0.94,5,0.066667,0.086957,00:00:21
642,63,44,19,56,39,17,0.9,7,0.111111,0.105263,00:00:03
643,107,74,33,102,71,31,0.96,5,0.046729,0.060606,00:00:21
644,247,172,75,227,158,69,0.92,20,0.080972,0.08,00:00:21
645,102,71,31,97,68,29,0.96,5,0.04902,0.064516,00:00:14
646,278,194,84,272,190,82,0.98,6,0.021583,0.02381,00:00:20
647,76,53,23,72,50,21,0.95,4,0.052632,0.086957,00:00:14
648,150,105,45,142,99,42,0.95,8,0.053333,0.066667,00:00:04
649,243,170,73,243,170,73,1.0,0,0.0,0.0,00:00:12
650,268,187,81,262,183,79,0.98,6,0.022388,0.024691,00:00:17
651,85,59,26,84,58,25,0.99,1,0.011765,0.038462,00:00:07
652,136,95,41,133,93,40,0.98,3,0.022059,0.02439,00:00:09
653,77,53,24,70,48,21,0.91,7,0.090909,0.125,00:00:03
654,90,62,28,81,56,25,0.91,9,0.1,0.107143,00:00:13
655,55,38,17,52,36,16,0.95,3,0.054545,0.058824,00:00:15
656,286,200,86,263,184,79,0.92,23,0.08042,0.081395,00:00:18
657,37,25,12,35,23,11,0.95,2,0.054054,0.083333,00:00:19
658,142,99,43,133,93,40,0.94,9,0.06338,0.069767,00:00:01
659,282,197,85,267,187,80,0.95,15,0.053191,0.058824,00:00:06
660,209,146,63,202,141,61,0.97,7,0.033493,0.031746,00:00:23
661,236,165,71,228,160,68,0.97,8,0.033898,0.042254,00:00:02
662,156,109,47,148,103,44,0.95,8,0.051282,0.06383,00:00:24
663,85,59,26,83,57,25,0.98,2,0.023529,0.038462,00:00:14
664,243,170,73,228,159,68,0.94,15,0.061728,0.068493,00:00:06
665,43,30,13,42,29,12,0.99,1,0.023256,0.076923,00:00:14
666,57,39,18,51,35,16,0.91,6,0.105263,0.111111,00:00:04
667,107,74,33,107,74,33,1.0,0,0.0,0.0,00:00:21
668,245,171,74,237,165,71,0.97,8,0.032653,0.040541,00:00:08
669,183,128,55,172,120,51,0.94,11,0.060109,0.072727,00:00:03
670,43,30,13,39,27,11,0.92,4,0.093023,0.153846,00:00:19
671,216,151,65,205,143,61,0.95,11,0.050926,0.061538,00:00:14
672,36,25,11,33,23,10,0.92,3,0.083333,0.090909,00:00:20
673,32,22,10,29,20,9,0.92,3,0.09375,0.1,00:00:17
674,140,98,42,134,94,40,0.96,6,0.042857,0.047619,00:00:08
675,267,186,81,253,176,76,0.95,14,0.052434,0.061728,00:00:24
676,268,187,81,259,181,78,0.97,9,0.033582,0.037037,00:00:14
677,256,179,77,253,177,76,0.99,3,0.011719,0.012987,00:00:06
678,44,30,14,41,28,13,0.95,3,0.068182,0.071429,00:00:23
679,221,154,67,212,147,64,0.96,9,0.040724,0.044776,00:00:22
680,148,103,45,134,93,40,0.91,14,0.094595,0.111111,00:00:16
681,57,39,18,55,37,17,0.97,2,0.035088,0.055556,00:00:19
682,231,161,70,217,151,65,0.94,14,0.060606,0.071429,00:00:14
683,68,47,21,68,47,21,1.0,0,0.0,0.0,00:00:19
684,260,182,78,254,178,76,0.98,6,0.023077,0.025641,00:00:03
685,115,80,35,109,76,33,0.95,6,0.052174,0.057143,00:00:10
686,155,108,47,141,98,42,0.91,14,0.090323,0.106383,00:00:19
687,54,37,17,53,36,16,0.99,1,0.018519,0.058824,00:00:09
688,174,121,53,170,118,51,0.98,4,0.022989,0.037736,00:00:20
689,42,29,13,38,26,11,0.92,4,0.095238,0.153846,00:00:13
690,241,168,73,224,156,67,0.93,17,0.070539,0.082192,00:00:07
691,54,37,17,52,36,16,0.98,2,0.037037,0.058824,00:00:14
692,97,67,30,89,61,27,0.92,8,0.082474,0.1,00:00:09
693,96,67,29,95,66,28,0.99,1,0.010417,0.034483,00:00:23
694,262,183,79,246,172,74,0.94,16,0.061069,0.063291,00:00:19
695,138,96,42,125,87,38,0.91,13,0.094203,0.095238,00:00:15
696,175,122,53,171,119,51,0.98,4,0.022857,0.037736,00:00:20
697,140,98,42,131,92,39,0.94,9,0.064286,0.071429,00:00:14
698,257,179,78,244,170,74,0.95,13,0.050584,0.051282,00:00:24
699,140,98,42,127,89,38,0.91,13,0.092857,0.095238,00:00:06
700,63,44,19,56,39,17,0.9,7,0.111111,0.105263,00:00:21
701,140,98,42,134,94,40,0.96,6,0.042857,0.047619,00:00:04
702,293,205,88,278,194,83,0.95,15,0.051195,0.056818,00:00:08
703,265,185,80,254,177,76,0.96,11,0.041509,0.05,00:00:17
704,112,78,34,109,76,33,0.98,3,0.026786,0.029412,00:00:09
705,71,49,22,68,47,21,0.96,3,0.042254,0.045455,00:00:01
706,130,91,39,119,83,35,0.92,11,0.084615,0.102564,00:00:24
707,35,24,11,32,22,10,0.94,3,0.085714,0.090909,00:00:20
708,209,146,63,206,144,62,0.99,3,0.014354,0.015873,00:00:14
709,255,178,77,249,174,75,0.98,6,0.023529,0.025974,00:00:11
710,258,180,78,247,172,74,0.96,11,0.042636,0.051282,00:00:21
711,179,125,54,166,116,50,0.93,13,0.072626,0.074074,00:00:03
712,227,158,69,211,146,64,0.93,16,0.070485,0.072464,00:00:09
713,99,69,30,96,66,29,0.97,3,0.030303,0.033333,00:00:14
714,141,98,43,139,97,42,0.99,2,0.014184,0.023256,00:00:09
715,33,23,10,32,22,9,0.97,1,0.030303,0.1,00:00:04
716,124,86,38,121,84,37,0.98,3,0.024194,0.026316,00:00:04
717,181,126,55,177,123,53,0.98,4,0.022099,0.036364,00:00:08
718,166,116,50,151,105,45,0.91,15,0.090361,0.1,00:00:02
719,276,193,83,259,181,78,0.94,17,0.061594,0.060241,00:00:09
720,272,190,82,250,174,75,0.92,22,0.080882,0.085366,00:00:14
721,60,42,18,55,38,16,0.92,5,0.083333,0.111111,00:00:22
722,69,48,21,68,47,20,0.99,1,0.014493,0.047619,00:00:09
723,258,180,78,245,171,74,0.95,13,0.050388,0.051282,00:00:24
724,65,45,20,61,42,19,0.95,4,0.061538,0.05,00:00:23
725,252,176,76,231,161,69,0.92,21,0.083333,0.092105,00:00:16
726,35,24,11,32,22,10,0.93,3,0.085714,0.090909,00:00:17
727,249,174,75,229,160,69,0.92,20,0.080321,0.08,00:00:16
728,104,72,32,95,66,29,0.92,9,0.086538,0.09375,00:00:12
729,33,23,10,31,22,9,0.96,2,0.060606,0.1,00:00:03
730,163,114,49,151,106,45,0.93,12,0.07362,0.081633,00:00:11
731,147,102,45,141,97,43,0.96,6,0.040816,0.044444,00:00:14
732,123,86,37,111,78,33,0.91,12,0.097561,0.108108,00:00:18
733,91,63,28,82,57,25,0.91,9,0.098901,0.107143,00:00:21
734,223,156,67,207,145,62,0.93,16,0.071749,0.074627,00:00:21
735,232,162,70,222,155,67,0.96,10,0.043103,0.042857,00:00:05
736,55,38,17,53,36,16,0.97,2,0.036364,0.058824,00:00:16
737,202,141,61,189,132,57,0.94,13,0.064356,0.065574,00:00:20
738,162,113,49,152,106,46,0.94,10,0.061728,0.061224,00:00:05
739,147,102,45,142,98,43,0.97,5,0.034014,0.044444,00:00:03
740,241,168,73,216,151,65,0.9,25,0.103734,0.109589,00:00:12
741,254,177,77,236,164,71,0.93,18,0.070866,0.077922,00:00:01
742,49,34,15,48,33,14,0.98,1,0.020408,0.066667,00:00:21
743,142,99,43,136,95,41,0.96,6,0.042254,0.046512,00:00:09
744,169,118,51,157,109,47,0.93,12,0.071006,0.078431,00:00:09
745,76,53,23,75,52,22,0.99,1,0.013158,0.043478,00:00:04
746,30,21,9,29,20,8,0.98,1,0.033333,0.111111,00:00:03
747,119,83,36,110,77,33,0.93,9,0.07563,0.083333,00:00:17
748,171,119,52,164,114,49,0.96,7,0.040936,0.057692,00:00:02
749,67,46,21,64,44,20,0.96,3,0.044776,0.047619,00:00:24
750,168,117,51,157,109,47,0.94,11,0.065476,0.078431,00:00:01
751,288,201,87,270,188,81,0.94,18,0.0625,0.068966,00:00:08
752,190,133,57,176,123,53,0.93,14,0.073684,0.070175,00:00:13
753,207,144,63,198,138,60,0.96,9,0.043478,0.047619,00:00:23
754,39,27,12,36,25,11,0.94,3,0.076923,0.083333,00:00:15
755,290,203,87,284,198,85,0.98,6,0.02069,0.022989,00:00:08
756,167,116,51,161,112,49,0.97,6,0.035928,0.039216,00:00:12
757,201,140,61,182,127,55,0.91,19,0.094527,0.098361,00:00:22
758,42,29,13,40,27,12,0.96,2,0.047619,0.076923,00:00:12
759,197,137,60,183,127,55,0.93,14,0.071066,0.083333,00:00:14
760,159,111,48,152,106,46,0.96,7,0.044025,0.041667,00:00:15
761,113,79,34,109,76,32,0.97,4,0.035398,0.058824,00:00:15
762,130,91,39,119,83,35,0.92,11,0.084615,0.102564,00:00:09
763,294,205,89,279,194,84,0.95,15,0.05102,0.05618,00:00:19
764,67,46,21,61,42,19,0.92,6,0.089552,0.095238,00:00:20
765,123,86,37,111,78,33,0.91,12,0.097561,0.108108,00:00:22
766,124,86,38,116,80,35,0.94,8,0.064516,0.078947,00:00:08
767,98,68,30,92,63,28,0.94,6,0.061224,0.066667,00:00:21
768,265,185,80,265,185,80,1.0,0,0.0,0.0,00:00:19
769,166,116,50,156,109,47,0.94,10,0.060241,0.06,00:00:06
770,105,73,32,97,67,29,0.93,8,0.07619,0.09375,00:00:20
771,64,44,20,61,42,19,0.96,3,0.046875,0.05,00:00:19
772,30,21,9,27,19,8,0.91,3,0.1,0.111111,00:00:04
773,89,62,27,89,62,27,1.0,0,0.0,0.0,00:00:23
774,296,207,89,284,198,85,0.96,12,0.040541,0.044944,00:00:07
